month,customer_id,monthly_mrr
2025-12,C001,5000.0
2025-12,C003,2000.0
2025-12,C004,7000.0
2025-12,C006,2500.0
2025-12,C008,9000.0
2025-12,C010,2200.0
2025-12,C011,10000.0
2026-01,C001,5000.0
2026-01,C002,0.0
2026-01,C003,2000.0
2026-01,C004,7000.0
2026-01,C005,300.0
2026-01,C006,2500.0
2026-01,C007,0.0
2026-01,C008,9000.0
2026-01,C010,2200.0
2026-01,C011,10000.0
2026-02,C001,5000.0
2026-02,C002,500.0
2026-02,C003,2000.0
2026-02,C004,7000.0
2026-02,C005,0.0
2026-02,C006,2500.0
2026-02,C007,1800.0
2026-02,C008,9000.0
2026-02,C009,0.0
2026-02,C010,2200.0
2026-02,C011,10000.0
2026-03,C001,6500.0
2026-03,C002,500.0
2026-03,C003,1500.0
2026-03,C004,7000.0
2026-03,C005,0.0
2026-03,C006,2500.0
2026-03,C007,1800.0
2026-03,C008,9000.0
2026-03,C009,600.0
2026-03,C010,0.0
2026-03,C011,10000.0
2026-04,C001,6500.0
2026-04,C002,750.0
2026-04,C003,1500.0
2026-04,C004,7800.0
2026-04,C005,0.0
2026-04,C006,3200.0
2026-04,C007,1200.0
2026-04,C008,9000.0
2026-04,C009,600.0
2026-04,C010,0.0
2026-04,C011,10000.0
2026-04,C012,0.0
2026-05,C001,5800.0
2026-05,C002,750.0
2026-05,C003,0.0
2026-05,C004,7800.0
2026-05,C005,400.0
2026-05,C006,3200.0
2026-05,C007,1200.0
2026-05,C008,9000.0
2026-05,C009,600.0
2026-05,C010,0.0
2026-05,C011,10000.0
2026-05,C012,400.0
2026-06,C001,5800.0
2026-06,C002,0.0
2026-06,C003,0.0
2026-06,C004,8300.0
2026-06,C005,400.0
2026-06,C006,3200.0
2026-06,C007,1200.0
2026-06,C008,9000.0
2026-06,C009,900.0
2026-06,C010,0.0
2026-06,C011,10000.0
2026-06,C012,400.0
2026-07,C001,5800.0
2026-07,C002,0.0
2026-07,C003,0.0
2026-07,C004,8300.0
2026-07,C005,400.0
2026-07,C006,3500.0
2026-07,C007,0.0
2026-07,C008,9000.0
2026-07,C009,900.0
2026-07,C010,0.0
2026-07,C011,8500.0
2026-07,C012,400.0
2026-08,C001,5800.0
2026-08,C002,0.0
2026-08,C003,1800.0
2026-08,C004,8300.0
2026-08,C005,400.0
2026-08,C006,3500.0
2026-08,C007,0.0
2026-08,C008,9000.0
2026-08,C009,900.0
2026-08,C010,0.0
2026-08,C011,8500.0
2026-08,C012,0.0
2026-09,C001,5800.0
2026-09,C002,0.0
2026-09,C003,1800.0
2026-09,C004,8300.0
2026-09,C005,400.0
2026-09,C006,3500.0
2026-09,C007,0.0
2026-09,C008,9000.0
2026-09,C009,900.0
2026-09,C010,2500.0
2026-09,C011,8500.0
2026-09,C012,0.0
2026-10,C001,5800.0
2026-10,C002,0.0
2026-10,C003,1800.0
2026-10,C004,8300.0
2026-10,C005,400.0
2026-10,C006,3500.0
2026-10,C007,0.0
2026-10,C008,9000.0
2026-10,C009,900.0
2026-10,C010,2500.0
2026-10,C011,8500.0
2026-10,C012,0.0
2026-11,C001,5800.0
2026-11,C002,0.0
2026-11,C003,1800.0
2026-11,C004,8300.0
2026-11,C005,400.0
2026-11,C006,3500.0
2026-11,C007,0.0
2026-11,C008,9000.0
2026-11,C009,900.0
2026-11,C010,2500.0
2026-11,C011,8500.0
2026-11,C012,0.0
2026-12,C001,5800.0
2026-12,C002,0.0
2026-12,C003,1800.0
2026-12,C004,8300.0
2026-12,C005,400.0
2026-12,C006,3500.0
2026-12,C007,0.0
2026-12,C008,9000.0
2026-12,C009,900.0
2026-12,C010,2500.0
2026-12,C011,8500.0
2026-12,C012,0.0
