month,segment,beginning_mrr,ending_mrr,new_mrr,expansion_mrr,contraction_mrr,churn_mrr,reactivation_mrr,active_customers,new_customers,churned_customers,expanding_customers,contracting_customers,reactivated_customers,grr,nrr,logo_churn_rate
2025-12,Enterprise,0.0,31000.0,31000.0,0.0,0.0,0.0,0.0,4,4,0,0,0,0,,,
2025-12,Mid-Market,0.0,6700.0,6700.0,0.0,0.0,0.0,0.0,3,3,0,0,0,0,,,
2026-01,Enterprise,31000.0,31000.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,1.0,1.0,0.0
2026-01,Mid-Market,6700.0,6700.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,1.0,1.0,0.0
2026-01,SMB,0.0,300.0,300.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,,,
2026-02,Enterprise,31000.0,31000.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,1.0,1.0,0.0
2026-02,Mid-Market,6700.0,8500.0,1800.0,0.0,0.0,0.0,0.0,4,1,0,0,0,0,1.0,1.0,0.0
2026-02,SMB,300.0,500.0,500.0,0.0,0.0,300.0,0.0,1,1,1,0,0,0,0.0,0.0,1.0
2026-03,Enterprise,31000.0,32500.0,0.0,1500.0,0.0,0.0,0.0,4,0,0,1,0,0,1.0,1.048387,0.0
2026-03,Mid-Market,8500.0,5800.0,0.0,0.0,500.0,2200.0,0.0,3,0,1,0,1,0,0.682353,0.682353,0.25
2026-03,SMB,500.0,1100.0,600.0,0.0,0.0,0.0,0.0,2,1,0,0,0,0,1.0,1.0,0.0
2026-04,Enterprise,32500.0,33300.0,0.0,800.0,0.0,0.0,0.0,4,0,0,1,0,0,1.0,1.024615,0.0
2026-04,Mid-Market,5800.0,5900.0,0.0,700.0,600.0,0.0,0.0,3,0,0,1,1,0,0.896552,1.017241,0.0
2026-04,SMB,1100.0,1350.0,0.0,250.0,0.0,0.0,0.0,2,0,0,1,0,0,1.0,1.227273,0.0
2026-05,Enterprise,33300.0,32600.0,0.0,0.0,700.0,0.0,0.0,4,0,0,0,1,0,0.978979,0.978979,0.0
2026-05,Mid-Market,5900.0,4400.0,0.0,0.0,0.0,1500.0,0.0,2,0,1,0,0,0,0.745763,0.745763,0.333333
2026-05,SMB,1350.0,2150.0,400.0,0.0,0.0,0.0,400.0,4,1,0,0,0,1,1.0,1.296296,0.0
2026-06,Enterprise,32600.0,33100.0,0.0,500.0,0.0,0.0,0.0,4,0,0,1,0,0,1.0,1.015337,0.0
2026-06,Mid-Market,4400.0,4400.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,1.0,1.0,0.0
2026-06,SMB,2150.0,1700.0,0.0,300.0,0.0,750.0,0.0,3,0,1,1,0,0,0.651163,0.790698,0.25
2026-07,Enterprise,33100.0,31600.0,0.0,0.0,1500.0,0.0,0.0,4,0,0,0,1,0,0.954683,0.954683,0.0
2026-07,Mid-Market,4400.0,3500.0,0.0,300.0,0.0,1200.0,0.0,1,0,1,1,0,0,0.727273,0.795455,0.5
2026-07,SMB,1700.0,1700.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,1.0,1.0,0.0
2026-08,Enterprise,31600.0,31600.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,1.0,1.0,0.0
2026-08,Mid-Market,3500.0,5300.0,0.0,0.0,0.0,0.0,1800.0,2,0,0,0,0,1,1.0,1.514286,0.0
2026-08,SMB,1700.0,1300.0,0.0,0.0,0.0,400.0,0.0,2,0,1,0,0,0,0.764706,0.764706,0.333333
2026-09,Enterprise,31600.0,31600.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,1.0,1.0,0.0
2026-09,Mid-Market,5300.0,7800.0,0.0,0.0,0.0,0.0,2500.0,3,0,0,0,0,1,1.0,1.471698,0.0
2026-09,SMB,1300.0,1300.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,1.0,1.0,0.0
2026-10,Enterprise,31600.0,31600.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,1.0,1.0,0.0
2026-10,Mid-Market,7800.0,7800.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,1.0,1.0,0.0
2026-10,SMB,1300.0,1300.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,1.0,1.0,0.0
2026-11,Enterprise,31600.0,31600.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,1.0,1.0,0.0
2026-11,Mid-Market,7800.0,7800.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,1.0,1.0,0.0
2026-11,SMB,1300.0,1300.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,1.0,1.0,0.0
2026-12,Enterprise,31600.0,31600.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,1.0,1.0,0.0
2026-12,Mid-Market,7800.0,7800.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,1.0,1.0,0.0
2026-12,SMB,1300.0,1300.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,1.0,1.0,0.0
